date,CorporateTax,PersonalIncomeTax,IndirectTaxes,OtherDirectTax
2001,35696,31764,119814,845
2002,36609,32004,117318,585
2003,46172,36866,132608,50
2004,63562,41386,148608,140
2005,82680,49268,170936,823
2006,101277,63689,199348,250
2007,144318,85623,241538,240
2008,193561,120429,279031,340
2009,213395,120034,269433,389
2010,244725,132833,243939,505
2011,298688,146258,343716,1049
2012,322816,170181,390953,990
2013,356326,201840,472915,823
2014,394678,242888,495347,1030
2015,428925,265772,543215,1095
2016,454419,286801,711885,1075
