State,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015
Maharashtra,131168.5,145507.6,174968.6,177363.3,202128.9,229494.9,277720.11
Delhi,54705,59621.7,64208.1,68410.5,79137.1,88140.4,91247.9
Karnataka,27311.2,29220.9,35824.8,40956,49047.8,59769.8,60595.22
TamilNadu,20651.1,24265.1,28409.5,28327.5,33051.3,42681.3,44732.62
AndhraPradesh,17494.9,18716.7,23133.4,25180,29947.7,32296.1,29769.01
Gujarat,12577.3,15001.2,17017,20961.7,25196.1,28783.9,35912.46
UttarPradesh,14453,15905,19850.5,20130.3,25745.6,25886.5,27159.83
WestBengal,13557.5,15862.3,19458,20592,24462.9,26900.7,27793.48
Haryana,5360,6365.6,9212.6,11168,13788,16778.6,12638.8
MadhyaPradesh,4589.9,5380.2,6756.4,8729.9,11226.3,13486.6,14262.57
Rajasthan,4666.2,5516.2,5813.3,7689.2,9951.9,11246.5,13146.11
Kerala,3719.8,4618.7,5493.2,6810,8524.4,10155.6,11909.69
Odisha,4639.9,5126.9,6172.7,7014.4,8630.5,9394.2,9871.25
Punjab,3350.1,3760,5019.2,6181.6,6977,7783.6,7072.98
Goa,3029.8,3624.1,4886.3,4583.9,2600.4,2100.3,2820.02
